"record_id","category","direct_smoke_relevance","title","authors","year","venue","identifier","url","problem_setting","physical_model","decision_variables","objective","constraints","algorithm","global_guarantee","validation","transferable","nontransferable","difference_to_problem","verification_status","accessed_on"
"S01","smoke_obscurant","yes","Infrared decoy and obscurant modelling and simulation for ship protection","Brian Butters; Edgar Nicholls; Roy Walmsley; Richard Ayling","2011","SPIE Proceedings","10.1117/12.898654","https://doi.org/10.1117/12.898654","舰船红外诱饵与遮蔽物仿真","红外传感器—目标—遮蔽物场景模型","遮蔽物/诱饵部署参数","评估舰船防护效果","传感器与场景几何","建模与仿真","no","场景仿真","舰船红外遮蔽背景与独立仿真思路","任何具体烟幕尺度与寿命","未采用本题二维圆盘全覆盖和120m/18+5s题面规律","verified_crossref","2026-07-31"
"S02","smoke_obscurant","yes","GPU-accelerated real-time IR smoke screen simulation and assessment of its obscuration","Xin Wu; Jian-qi Zhang; Xi Huang; De-lian Liu","2012","Infrared Physics & Technology","10.1016/j.infrared.2011.11.001","https://doi.org/10.1016/j.infrared.2011.11.001","红外烟幕实时仿真与遮蔽评估","三维烟幕/红外成像数值模型","场景和烟幕仿真参数","实时估计遮蔽效果","计算与成像约束","GPU并行仿真","no","实时数值实验","独立高精度遮蔽验证器的思想","论文物理参数与三维浓度场","本题以二维几何完全覆盖为题面判据","verified_crossref","2026-07-31"
"S03","smoke_obscurant","yes","Dynamic modeling method for infrared smoke based on enhanced discrete phase model","Zhendong Zhang; Chunling Yang; Yan Zhang; Hongbo Zhu","2018","Infrared Physics & Technology","10.1016/j.infrared.2018.01.006","https://doi.org/10.1016/j.infrared.2018.01.006","红外烟幕动态演化","增强离散相烟雾模型","粒子与环境参数","提高烟幕动态仿真真实性","流场与颗粒动力学","离散相数值仿真","no","动态模型仿真","风漂/扩散可作为鲁棒扩展","颗粒参数、风场和三维机制","题面已直接给半径分段规律且忽略高度","verified_crossref","2026-07-31"
"S04","smoke_obscurant","yes","Infrared Thermography Approach for Effective Shielding Area of Field Smoke Based on Background Subtraction and Transmittance Interpolation","Runze Tang; Tonglai Zhang; Yongpeng Chen; Hao Liang; Bingyang Li; Zunning Zhou","2018","Sensors","10.3390/s18051450","https://doi.org/10.3390/s18051450","野外烟幕有效遮蔽面积测量","背景扣除与透过率插值","透过率阈值与像素区域","估计有效遮蔽面积","热像测量与阈值","图像处理/插值","no","野外热像实验","遮蔽判据应与测量/阈值区分","任何经验阈值和场地参数","本题直接规定完整几何覆盖而非透过率阈值","verified_crossref","2026-07-31"
"S05","smoke_obscurant","yes","An Efficient Numerical Approach for Field Infrared Smoke Transmittance Based on Grayscale Images","Runze Tang; Tonglai Zhang; Xuebin Wei; Zunning Zhou","2017","Applied Sciences","10.3390/app8010040","https://doi.org/10.3390/app8010040","野外红外烟幕透过率估计","灰度图像—透过率映射","图像区域与校准参数","高效评估烟幕透过率","成像与校准条件","图像数值方法","no","野外图像案例","光学模型可作为几何模型的高级验证方向","具体校准关系和浓度参数","本题无图像数据且以几何圆盘覆盖定义有效","verified_crossref","2026-07-31"
"S06","smoke_obscurant","yes","Design and Evaluation of Screening Smoke Compositions Based on Red Phosphorus in Open Field Conditions","Bogdan Gheorghe Pulpea; Daniela Pulpea; Eugen Trană; Traian Rotariu; Raluca Elena Ginghină; Gabriela Toader; Florin Marian Dirloman","2022","Applied Sciences","10.3390/app122412893","https://doi.org/10.3390/app122412893","开放场烟幕配方与遮蔽性能","实物烟幕生成和光学评价","配方与测试条件","评价屏蔽性能","开放场试验条件","实验设计与测量","no","开放场实验","现实局限与外部有效性讨论","配方、尺度、持续时间","本题不要求化学配方且参数由题面固定","verified_crossref","2026-07-31"
"S07","smoke_obscurant","yes","A puff pollutant dispersion model with wind shear and dynamic plume rise","C. M. Sheih","1978","Atmospheric Environment (1967)","10.1016/0004-6981(78)90127-0","https://doi.org/10.1016/0004-6981(78)90127-0","风切变下烟团扩散","puff扩散与动态抬升","风场与源参数","预测烟团输运扩散","大气输运条件","解析/数值扩散模型","no","模型算例","风致中心漂移的备选机制","任何风速、抬升或沉降参数","本题二维且没有风场；只能进入鲁棒扩展","verified_crossref","2026-07-31"
"S09","smoke_obscurant","yes","无人机群烟幕协同遮蔽的分层优化算法","刘年瑾; 郑秀娟","2026","工程科学与技术","10.12454/j.jsuese.202600356","https://jsuese.scu.edu.cn/zh/article/doi/10.12454/j.jsuese.202600356/","无人机群协同烟幕遮蔽","分层的任务—连续控制结构","多机分配与烟幕部署变量","协同提升遮蔽效果","多机资源与协同约束","分层优化","not_stated","论文数值实验","Q3/Q4分层候选与多机协同结构","其场景参数和任何未核验最优性声明","题面资源、二维完全覆盖和事件语义不同","verified_publisher","2026-07-31"
"P01","sip_continuous_cover","no","Solving continuous set covering problems by means of semi-infinite optimization","Helene Krieg; Tobias Seidel; Jan Schwientek; Karl-Heinz Küfer","2022","Mathematical Methods of Operations Research","10.1007/s00186-022-00776-y","https://doi.org/10.1007/s00186-022-00776-y","连续集合覆盖","半无限优化表述","覆盖设施/几何参数","覆盖连续目标集合","无限多覆盖约束","SIP离散化/求解","method_dependent","连续覆盖算例","Q2圆盘并集覆盖的直接数学依据","应用实例参数","本题还耦合连续时间、UAV路径和烟幕衰减","verified_crossref","2026-07-31"
"P02","sip_continuous_cover","no","Infinitely constrained optimization problems","J. W. Blankenship; J. E. Falk","1976","Journal of Optimization Theory and Applications","10.1007/BF00934096","https://doi.org/10.1007/BF00934096","无限约束优化","连续索引约束族","有限主问题变量","满足全部无限约束并优化目标","半无限可行域","交换/约束加入","conditional","理论与算例","从有限主问题迭代加入最坏违约点","不能直接保证本题非凸全局最优","本题分离子问题含动态圆盘并集和非凸路径","verified_crossref","2026-07-31"
